,record_numberIE_MLP,NS_MLP,TF_MLP,JP_MLP
0,0.4645858343337335,0.7040816326530612,0.5588235294117647,0.468187274909964
1,0.5690276110444178,0.6152460984393757,0.5540216086434574,0.5156062424969988
2,0.5090036014405762,0.7430972388955582,0.4507803121248499,0.46758703481392555
3,0.5162064825930373,0.7250900360144058,0.5570228091236494,0.4729891956782713
4,0.3895558223289316,0.39255702280912363,0.531812725090036,0.45858343337334934
5,0.6092436974789915,0.4063625450180072,0.5516206482593037,0.5498199279711885
6,0.592436974789916,0.741296518607443,0.539015606242497,0.4759903961584634
7,0.6032412965186075,0.7394957983193278,0.5282112845138055,0.4717887154861945
8,0.42737094837935174,0.5930372148859544,0.5570228091236494,0.521608643457383
9,0.46278511404561823,0.6470588235294118,0.5438175270108043,0.5330132052821128
10,0.43217286914765907,0.6818727490996399,0.5630252100840336,0.4507803121248499
11,0.6134453781512605,0.617046818727491,0.4687875150060024,0.47539015606242496
12,0.524609843937575,0.6956782713085234,0.49039615846338536,0.4963985594237695
13,0.553421368547419,0.741296518607443,0.5696278511404562,0.5498199279711885
14,0.3799519807923169,0.7304921968787516,0.5570228091236494,0.5546218487394958
15,0.5966386554621849,0.7274909963985594,0.4957983193277311,0.5252100840336135
16,0.595438175270108,0.6110444177671068,0.5582232893157263,0.5540216086434574
17,0.4957983193277311,0.5756302521008403,0.5660264105642256,0.5384153661464586
18,0.38535414165666265,0.6830732292917167,0.5528211284513805,0.4561824729891957
19,0.5834333733493398,0.7503001200480192,0.5642256902761105,0.492797118847539
20,0.6176470588235294,0.6854741896758704,0.5432172869147659,0.5120048019207684
21,0.6218487394957983,0.5342136854741897,0.4399759903961585,0.44417767106842737
22,0.5840336134453782,0.7424969987995198,0.5624249699879952,0.45138055222088835
23,0.4189675870348139,0.741296518607443,0.44357743097238894,0.5384153661464586
24,0.42737094837935174,0.3985594237695078,0.44057623049219685,0.4579831932773109
25,0.5984393757503002,0.7334933973589436,0.43157262905162064,0.5414165666266506
26,0.4807923169267707,0.27310924369747897,0.5600240096038416,0.553421368547419
27,0.620048019207683,0.734093637454982,0.4411764705882353,0.521608643457383
28,0.38055222088835533,0.7178871548619448,0.5300120048019208,0.44717887154861946
29,0.39615846338535415,0.7448979591836735,0.5648259303721489,0.5492196878751501
30,0.4651860744297719,0.6062424969987995,0.5648259303721489,0.5558223289315727
31,0.5942376950780313,0.7400960384153662,0.5576230492196879,0.5132052821128451
32,0.5960384153661464,0.7460984393757503,0.5582232893157263,0.5168067226890757
33,0.5996398559423769,0.7058823529411765,0.43577430972388953,0.5312124849939976
34,0.3799519807923169,0.5966386554621849,0.4255702280912365,0.4789915966386555
35,0.3799519807923169,0.737094837935174,0.5576230492196879,0.5528211284513805
36,0.38055222088835533,0.7478991596638656,0.5576230492196879,0.5552220888355343
37,0.49759903961584634,0.6356542617046819,0.4597839135654262,0.49819927971188477
38,0.4879951980792317,0.7406962785114045,0.5684273709483794,0.4495798319327731
39,0.5504201680672269,0.5558223289315727,0.5588235294117647,0.4849939975990396
40,0.6188475390156063,0.37815126050420167,0.460984393757503,0.5522208883553421
41,0.6296518607442977,0.631452581032413,0.5648259303721489,0.4489795918367347
42,0.620048019207683,0.741296518607443,0.575030012004802,0.45018007202881155
43,0.3859543817527011,0.6824729891956782,0.563625450180072,0.44537815126050423
44,0.6182472989195679,0.7388955582232893,0.4345738295318127,0.5312124849939976
45,0.42016806722689076,0.4963985594237695,0.5738295318127251,0.4849939975990396
46,0.429171668667467,0.28811524609843936,0.563625450180072,0.4831932773109244
47,0.536014405762305,0.7082833133253301,0.5594237695078031,0.4687875150060024
48,0.3847539015606242,0.7490996398559424,0.4831932773109244,0.4717887154861945
49,0.6194477791116446,0.7478991596638656,0.5600240096038416,0.44237695078031214
50,0.5498199279711885,0.7322929171668667,0.4417767106842737,0.5036014405762305
51,0.39915966386554624,0.7424969987995198,0.5762304921968787,0.49459783913565425
52,0.5858343337334934,0.7436974789915967,0.5612244897959183,0.553421368547419
53,0.4015606242496999,0.32653061224489793,0.5840336134453782,0.5570228091236494
54,0.6152460984393757,0.7418967587034814,0.56062424969988,0.5438175270108043
55,0.6038415366146459,0.6350540216086434,0.539015606242497,0.4477791116446579
56,0.41836734693877553,0.35234093637454983,0.5486194477791116,0.5504201680672269
57,0.6224489795918368,0.7046818727490997,0.5348139255702281,0.4615846338535414
58,0.6164465786314526,0.4519807923169268,0.4531812725090036,0.5330132052821128
