,record_numberIE_RF,NS_RF,TF_RF,JP_RF,IE_KNN,NS_KNN,TF_KNN,JP_KNN
0,0.5516206482593037,0.7466986794717887,0.5528211284513805,0.46758703481392555,0.5486194477791116,0.7478991596638656,0.5012004801920769,0.48679471788715484
1,0.5990396158463386,0.7448979591836735,0.5660264105642256,0.4777911164465786,0.5726290516206483,0.734093637454982,0.5084033613445378,0.4717887154861945
2,0.5588235294117647,0.7466986794717887,0.5282112845138055,0.48739495798319327,0.5630252100840336,0.7346938775510204,0.5186074429771909,0.48259303721488594
3,0.5834333733493398,0.7448979591836735,0.5408163265306123,0.4525810324129652,0.5438175270108043,0.7430972388955582,0.5018007202881153,0.4843937575030012
4,0.5918367346938775,0.7472989195678271,0.5450180072028812,0.4495798319327731,0.5492196878751501,0.737094837935174,0.5054021608643458,0.4801920768307323
5,0.5834333733493398,0.7466986794717887,0.5522208883553421,0.47358943577430973,0.56062424969988,0.734093637454982,0.5108043217286915,0.48559423769507803
6,0.5858343337334934,0.748499399759904,0.5624249699879952,0.47058823529411764,0.542016806722689,0.7490996398559424,0.5102040816326531,0.47478991596638653
7,0.5690276110444178,0.7472989195678271,0.5456182472989196,0.4969987995198079,0.5522208883553421,0.7472989195678271,0.5,0.46938775510204084
8,0.5816326530612245,0.7460984393757503,0.553421368547419,0.4837935174069628,0.5576230492196879,0.741296518607443,0.5036014405762305,0.4909963985594238
9,0.5846338535414166,0.7460984393757503,0.5342136854741897,0.45858343337334934,0.5402160864345739,0.7406962785114045,0.5114045618247299,0.4969987995198079
10,0.5738295318127251,0.7460984393757503,0.5582232893157263,0.46758703481392555,0.5450180072028812,0.7545018007202882,0.5120048019207684,0.4849939975990396
11,0.575030012004802,0.741296518607443,0.5414165666266506,0.47058823529411764,0.5474189675870348,0.7539015606242497,0.5126050420168067,0.4849939975990396
12,0.5792316926770709,0.7454981992797118,0.5546218487394958,0.4687875150060024,0.5588235294117647,0.7442977190876351,0.503001200480192,0.4843937575030012
13,0.5840336134453782,0.7454981992797118,0.5558223289315727,0.49159663865546216,0.5468187274909964,0.7521008403361344,0.5114045618247299,0.4807923169267707
14,0.5654261704681873,0.7472989195678271,0.5438175270108043,0.507202881152461,0.5474189675870348,0.751500600240096,0.5114045618247299,0.4837935174069628
15,0.5846338535414166,0.7448979591836735,0.5546218487394958,0.4963985594237695,0.5474189675870348,0.751500600240096,0.5114045618247299,0.4837935174069628
16,0.5846338535414166,0.7448979591836735,0.5546218487394958,0.4963985594237695,0.5474189675870348,0.751500600240096,0.5114045618247299,0.4837935174069628
17,0.5858343337334934,0.7460984393757503,0.5348139255702281,0.45558223289315725,0.5468187274909964,0.751500600240096,0.5108043217286915,0.4837935174069628
18,0.5822328931572629,0.7418967587034814,0.553421368547419,0.46638655462184875,0.5468187274909964,0.751500600240096,0.5108043217286915,0.4837935174069628
19,0.5546218487394958,0.751500600240096,0.5756302521008403,0.4669867947178872,0.5570228091236494,0.7364945978391356,0.514405762304922,0.4687875150060024
20,0.531812725090036,0.7460984393757503,0.5348139255702281,0.4939975990396158,0.5546218487394958,0.7298919567827131,0.5186074429771909,0.4801920768307323
21,0.5540216086434574,0.7436974789915967,0.553421368547419,0.47358943577430973,0.5738295318127251,0.723889555822329,0.5,0.4879951980792317
22,0.5432172869147659,0.7424969987995198,0.5498199279711885,0.48139255702280914,0.5630252100840336,0.7328931572629052,0.5186074429771909,0.4891956782713085
23,0.5456182472989196,0.7454981992797118,0.5528211284513805,0.49459783913565425,0.5504201680672269,0.7346938775510204,0.5036014405762305,0.47118847539015607
24,0.5516206482593037,0.7503001200480192,0.5558223289315727,0.49939975990396157,0.5600240096038416,0.7382953181272509,0.5192076830732293,0.46638655462184875
25,0.5438175270108043,0.7472989195678271,0.5492196878751501,0.48679471788715484,0.5462184873949579,0.7304921968787516,0.5288115246098439,0.47959183673469385
26,0.5462184873949579,0.748499399759904,0.5528211284513805,0.4897959183673469,0.5522208883553421,0.7262905162064826,0.5156062424969988,0.5096038415366146
27,0.5522208883553421,0.7460984393757503,0.5540216086434574,0.47418967587034816,0.5618247298919568,0.7262905162064826,0.5096038415366146,0.4819927971188475
28,0.5498199279711885,0.7472989195678271,0.5540216086434574,0.4687875150060024,0.5678271308523409,0.7286914765906363,0.4957983193277311,0.49159663865546216
29,0.5450180072028812,0.7466986794717887,0.5684273709483794,0.4897959183673469,0.5408163265306123,0.7226890756302521,0.5156062424969988,0.5054021608643458
30,0.5426170468187275,0.7466986794717887,0.5468187274909964,0.49039615846338536,0.575030012004802,0.7388955582232893,0.4771908763505402,0.47839135654261705
31,0.5486194477791116,0.7490996398559424,0.5546218487394958,0.5060024009603842,0.5336134453781513,0.7304921968787516,0.5120048019207684,0.49039615846338536
32,0.5450180072028812,0.7472989195678271,0.5480192076830732,0.49459783913565425,0.5366146458583433,0.7256902761104442,0.5126050420168067,0.507202881152461
33,0.5372148859543817,0.7509003601440576,0.5582232893157263,0.4885954381752701,0.5384153661464586,0.7286914765906363,0.5078031212484994,0.5042016806722689
34,0.5372148859543817,0.7509003601440576,0.5582232893157263,0.4885954381752701,0.5384153661464586,0.7286914765906363,0.5078031212484994,0.5042016806722689
35,0.553421368547419,0.7448979591836735,0.5504201680672269,0.46758703481392555,0.5348139255702281,0.7274909963985594,0.5102040816326531,0.49879951980792314
36,0.5546218487394958,0.7472989195678271,0.5552220888355343,0.47358943577430973,0.5372148859543817,0.7250900360144058,0.5108043217286915,0.5054021608643458
37,0.5912364945978391,0.7454981992797118,0.5720288115246098,0.4939975990396158,0.5660264105642256,0.7430972388955582,0.5138055222088835,0.4885954381752701
