,record_number,IE_NB,NS_NB,TF_NB,JP_NB
0,0,0.3787515006002401,0.2743097238895558,0.5570228091236494,0.4417767106842737
1,1,0.38535414165666265,0.31212484993997597,0.5570228091236494,0.44357743097238894
2,2,0.37755102040816324,0.287515006002401,0.5570228091236494,0.44357743097238894
3,3,0.37755102040816324,0.2773109243697479,0.5576230492196879,0.44357743097238894
4,4,0.37755102040816324,0.27791116446578634,0.5570228091236494,0.44357743097238894
5,5,0.37695078031212487,0.28991596638655465,0.5576230492196879,0.44357743097238894
6,6,0.39195678271308526,0.2857142857142857,0.5570228091236494,0.4411764705882353
7,7,0.37755102040816324,0.29531812725090034,0.5558223289315727,0.44357743097238894
8,8,0.37815126050420167,0.30312124849939975,0.556422569027611,0.44417767106842737
9,9,0.3793517406962785,0.3163265306122449,0.5576230492196879,0.44357743097238894
10,10,0.3799519807923169,0.2785114045618247,0.5570228091236494,0.44237695078031214
11,11,0.37755102040816324,0.28391356542617047,0.5576230492196879,0.44417767106842737
12,12,0.37695078031212487,0.28991596638655465,0.5576230492196879,0.44357743097238894
13,13,0.39195678271308526,0.28691476590636256,0.556422569027611,0.4411764705882353
14,14,0.37755102040816324,0.27791116446578634,0.556422569027611,0.44357743097238894
15,15,0.37755102040816324,0.27791116446578634,0.5570228091236494,0.44357743097238894
16,16,0.37755102040816324,0.27791116446578634,0.5570228091236494,0.44357743097238894
17,17,0.37755102040816324,0.28031212484994,0.5570228091236494,0.44357743097238894
18,18,0.37755102040816324,0.27791116446578634,0.5570228091236494,0.44357743097238894
19,19,0.3895558223289316,0.31092436974789917,0.556422569027611,0.5588235294117647
20,20,0.3793517406962785,0.28991596638655465,0.5570228091236494,0.4891956782713085
21,21,0.3787515006002401,0.28391356542617047,0.5552220888355343,0.4885954381752701
22,22,0.37815126050420167,0.28331332533013204,0.5570228091236494,0.4723889555822329
23,23,0.3787515006002401,0.29531812725090034,0.5576230492196879,0.4531812725090036
24,24,0.39195678271308526,0.28691476590636256,0.563625450180072,0.5402160864345739
25,25,0.3799519807923169,0.2965186074429772,0.5588235294117647,0.48739495798319327
26,26,0.3793517406962785,0.3037214885954382,0.556422569027611,0.56062424969988
27,27,0.38115246098439376,0.31212484993997597,0.5588235294117647,0.5540216086434574
28,28,0.382953181272509,0.28211284513805523,0.556422569027611,0.49939975990396157
29,29,0.3799519807923169,0.2845138055222089,0.5726290516206483,0.5204081632653061
30,30,0.37815126050420167,0.29111644657863145,0.5570228091236494,0.48259303721488594
31,31,0.39195678271308526,0.28811524609843936,0.5624249699879952,0.5384153661464586
32,32,0.3793517406962785,0.2845138055222089,0.556422569027611,0.45438175270108044
33,33,0.3793517406962785,0.28391356542617047,0.556422569027611,0.5198079231692677
34,34,0.3793517406962785,0.28391356542617047,0.556422569027611,0.5198079231692677
35,35,0.3793517406962785,0.2845138055222089,0.556422569027611,0.531812725090036
36,36,0.3793517406962785,0.2845138055222089,0.5570228091236494,0.48739495798319327
37,37,0.3937575030012005,0.741296518607443,0.556422569027611,0.44357743097238894
38,38,0.3979591836734694,0.741296518607443,0.5558223289315727,0.4429771908763505
39,39,0.3937575030012005,0.741296518607443,0.5558223289315727,0.44357743097238894
40,40,0.3979591836734694,0.7178871548619448,0.5546218487394958,0.44417767106842737
41,41,0.3997599039615846,0.32232893157262904,0.5630252100840336,0.5378151260504201
42,42,0.39615846338535415,0.741296518607443,0.5582232893157263,0.4411764705882353
43,43,0.3955582232893157,0.7478991596638656,0.5576230492196879,0.44357743097238894
44,44,0.39615846338535415,0.741296518607443,0.5594237695078031,0.44417767106842737
45,45,0.4015606242496999,0.7220888355342137,0.5546218487394958,0.44717887154861946
46,46,0.3949579831932773,0.7352941176470589,0.570828331332533,0.4495798319327731
47,47,0.3979591836734694,0.7184873949579832,0.5558223289315727,0.4447779111644658
48,48,0.3997599039615846,0.3235294117647059,0.5612244897959183,0.5366146458583433
49,49,0.3943577430972389,0.741296518607443,0.5558223289315727,0.44357743097238894
50,50,0.3943577430972389,0.741296518607443,0.556422569027611,0.44357743097238894
51,51,0.3943577430972389,0.741296518607443,0.556422569027611,0.44357743097238894
52,52,0.3943577430972389,0.741296518607443,0.5558223289315727,0.44357743097238894
53,53,0.3943577430972389,0.741296518607443,0.556422569027611,0.44357743097238894
54,54,0.3793517406962785,0.7400960384153662,0.5552220888355343,0.4429771908763505
